,n_HeavyAtomCount,LogP,n_SMILES
1019,H23,P010,6205666
1020,H23,P020,6806746
1021,H23,P030,7502649
1022,H23,P040,8112397
1023,H23,P050,8906328
1024,H23,P060,9622541
1025,H23,P070,10154273
1026,H23,P080,11062446
1027,H23,P090,11471564
1028,H23,P100,12085122
1029,H23,P110,12678790
1030,H23,P120,13012355
1031,H23,P130,13677572
1032,H23,P140,14293695
1033,H23,P150,14771732
1034,H23,P160,15141089
1035,H23,P170,15616281
1036,H23,P180,15828602
1037,H23,P190,15885428
1038,H23,P200,16121571
1039,H23,P210,15648732
1040,H23,P220,15664021
1041,H23,P230,15261716
1042,H23,P240,14905300
1043,H23,P250,14634486
1044,H23,P260,14180297
1045,H23,P270,13822652
1046,H23,P280,13436564
1047,H23,P290,12950739
1048,H23,P300,12210830
1049,H23,P310,11681528
1050,H23,P320,10933832
1051,H23,P330,10064290
1052,H23,P340,9341941
1053,H23,P350,8573378
1054,H23,P360,7900330
1055,H23,P370,7194445
1056,H23,P380,6593063
1057,H23,P390,6034459
1058,H23,P400,5492242
1059,H23,P410,5035795
1060,H23,P420,4603033
1061,H23,P430,4135019
1062,H23,P440,3731759
1063,H23,P450,3246836
1064,H23,P460,2916930
1065,H23,P470,2594984
1066,H23,P480,2310705
1067,H23,P490,2001775
1068,H23,P500,9066509
1069,H23,P600,898918
1070,H23,P700,27903
1071,H23,P800,276
1072,H23,P900,6
1073,H24,M000,55182926
1074,H24,M100,13703899
1075,H24,M200,2164193
1076,H24,M300,209215
1077,H24,M400,11461
1078,H24,M500,287
1079,H24,P000,9803059
1080,H24,P010,10659570
1081,H24,P020,11547433
1082,H24,P030,12641692
1083,H24,P040,13722088
1084,H24,P050,14737689
1085,H24,P060,15961956
1086,H24,P070,17110690
1087,H24,P080,18507059
1088,H24,P090,19646206
1089,H24,P100,20862873
1090,H24,P110,21765697
1091,H24,P120,22745593
1092,H24,P130,23435567
1093,H24,P140,24261247
1094,H24,P150,25010865
1095,H24,P160,25318614
1096,H24,P170,26118067
1097,H24,P180,26669216
1098,H24,P190,26345372
1099,H24,P200,27425581
1100,H24,P210,27297215
1101,H24,P220,27437248
1102,H24,P230,26587403
1103,H24,P240,26146256
1104,H24,P250,25165652
1105,H24,P260,24188388
1106,H24,P270,23388587
1107,H24,P280,22298937
1108,H24,P290,21669254
1109,H24,P300,20426131
1110,H24,P310,19497125
1111,H24,P320,18565801
1112,H24,P330,17282222
1113,H24,P340,16063633
1114,H24,P350,14740988
1115,H24,P360,13522961
1116,H24,P370,12036958
1117,H24,P380,10909168
1118,H24,P390,9792440
1119,H24,P400,8692776
1120,H24,P410,7829989
1121,H24,P420,6998006
1122,H24,P430,6310964
1123,H24,P440,5606889
1124,H24,P450,4835003
1125,H24,P460,4334655
1126,H24,P470,3838701
1127,H24,P480,3437512
1128,H24,P490,3035698
1129,H24,P500,14515504
1130,H24,P600,1736060
1131,H24,P700,70217
1132,H24,P800,813
1133,H24,P900,36
1134,H25,M000,1205
1135,H25,M100,45
1136,H25,M200,6
1137,H25,P000,1240
1138,H25,P010,2666
1139,H25,P020,5814
1140,H25,P030,7346
1141,H25,P040,19435
1142,H25,P050,33973
1143,H25,P060,496648
1144,H25,P070,678804
1145,H25,P080,867785
1146,H25,P090,914691
1147,H25,P100,1323780
1148,H25,P110,1673296
1149,H25,P120,37663457
1150,H25,P130,39410160
1151,H25,P140,40934847
1152,H25,P150,42050603
1153,H25,P160,43743453
1154,H25,P170,44570410
1155,H25,P180,45734319
1156,H25,P190,45896572
1157,H25,P200,46328097
1158,H25,P210,46822762
1159,H25,P220,47189888
1160,H25,P230,46313340
1161,H25,P240,46230211
1162,H25,P250,45162513
1163,H25,P260,40418784
1164,H25,P270,42235342
1165,H25,P280,37364890
1166,H25,P290,38596042
1167,H25,P300,36130299
1168,H25,P310,34142256
1169,H25,P320,32290479
1170,H25,P330,30223761
1171,H25,P340,28147020
1172,H25,P350,26078566
1173,H25,P360,24370583
1174,H25,P370,21723315
1175,H25,P380,19734337
1176,H25,P390,17684457
1177,H25,P400,15487660
1178,H25,P410,13656876
1179,H25,P420,12025581
1180,H25,P430,10631143
1181,H25,P440,9121476
1182,H25,P450,7738049
1183,H25,P460,6819914
1184,H25,P470,5927210
1185,H25,P480,5238245
1186,H25,P490,4634665
1187,H25,P500,22824750
1188,H25,P600,3238912
1189,H25,P700,160962
1190,H25,P800,3148
1191,H25,P900,75
1192,H26,M000,136155610
1193,H26,M100,33517649
1194,H26,M200,5313412
1195,H26,M300,522498
1196,H26,M400,28370
1197,H26,M500,668
1198,H26,M600,1
1199,H26,P000,24211029
1200,H26,P010,26656927
1201,H26,P020,29285007
1202,H26,P030,32115634
1203,H26,P040,34795138
1204,H26,P050,37222484
1205,H26,P060,1515102
1206,H26,P070,1578191
1207,H26,P080,1610782
1208,H26,P090,1623453
1209,H26,P100,315659
1210,H26,P110,125085
1211,H26,P120,128388
1212,H26,P130,129991
1213,H26,P140,1069815
1214,H26,P150,1413434
1215,H26,P160,1696184
1216,H26,P170,1738597
1217,H26,P180,2285505
1218,H26,P190,2850172
1219,H26,P200,76410652
1220,H26,P210,76566724
1221,H26,P220,77470045
1222,H26,P230,76731447
1223,H26,P240,77290714
1224,H26,P250,76456467
1225,H26,P260,74965103
1226,H26,P270,73418330
1227,H26,P280,70943280
1228,H26,P290,68179782
1229,H26,P300,64268577
1230,H26,P310,61025094
1231,H26,P320,56939412
1232,H26,P330,52866094
1233,H26,P340,49438779
